address,direction,section,name,value_or_unit,description,status,notes,pdf_alias
0,UR,UR Native,"Inputs, bit 0~15",[BBBBBBBBTTxxxxxx],"x=undef, T=tool, B=box",PDF 단독,,
1,UR,UR Native,"Outputs, bit 0~15",[BBBBBBBBTTxxxxxx],"x=undef, T=tool, B=box",PDF 단독,,
128,Robot -> Pendant,128~160 로봇 → 팬던트,하트비트,,로봇 통신 생존 신호,일치,,
129,Robot -> Pendant,128~160 로봇 → 팬던트,프로그램 동작 여부,"1=동작, 0=X",로봇 프로그램 실행 상태,일치,,
130,Robot -> Pendant,128~160 로봇 → 팬던트,용접 여부,"1=용접, 0=X",현재 용접 중 여부,일치,,
131,Robot -> Pendant,128~160 로봇 → 팬던트,현재 전류,A,실제 용접 전류,일치,,
132,Robot -> Pendant,128~160 로봇 → 팬던트,현재 전압,V,실제 용접 전압,일치,,
133,Robot -> Pendant,128~160 로봇 → 팬던트,지령 전류,A,목표 전류,일치,,
134,Robot -> Pendant,128~160 로봇 → 팬던트,지령 전압,V,목표 전압,일치,,
135,Robot -> Pendant,128~160 로봇 → 팬던트,현재 PATH 셀,VL1/VL2/VR1/VR2/HOR,현재 용접 셀,일치,,
136,Robot -> Pendant,128~160 로봇 → 팬던트,현재 PATH,1~5,현재 패스 번호,일치,,
137,Robot -> Pendant,128~160 로봇 → 팬던트,용접 종료,1=종료,용접 종료 상태,일치,,
138,Robot -> Pendant,128~160 로봇 → 팬던트,전체 중 현재 PATH,0~7,전체 패스 중 현재 인덱스,일치,,
139,Robot -> Pendant,128~160 로봇 → 팬던트,전체 PATH,1~7,총 패스 개수,일치,,
140,Robot -> Pendant,128~160 로봇 → 팬던트,2F 개수,1~3,2F 개수,일치,,
141,Robot -> Pendant,128~160 로봇 → 팬던트,로봇 준비,1=준비 중,로봇 준비 상태,일치,작업 시트 버튼 메모: 로봇 사용 가능,
142,Robot -> Pendant,128~160 로봇 → 팬던트,로봇 에러,code,프로젝트 로봇 에러 코드,일치,상세 코드와 조치는 errors-alarms.md 참조,
143,Robot -> Pendant,128~160 로봇 → 팬던트,현재 시간,,현재 시간,일치,,
144,Robot -> Pendant,128~160 로봇 → 팬던트,전체 시간,,전체 시간,일치,,
145,Robot -> Pendant,128~160 로봇 → 팬던트,셀 번호,1~1000,프로젝트 셀 번호,프로젝트 우선,작업 시트 기준 적용,PDF: 아크센싱 적분
146,Robot -> Pendant,128~160 로봇 → 팬던트,셀 요청,0,셀 요청 상태,프로젝트 우선,작업 시트 기준 적용,PDF: 아크센싱 보상
147,Robot -> Pendant,128~160 로봇 → 팬던트,Reserved/TBD,,작업 시트 공란,미확정,,
148,Robot -> Pendant,128~160 로봇 → 팬던트,Reserved/TBD,,작업 시트 공란,미확정,,
149,Robot -> Pendant,128~160 로봇 → 팬던트,Reserved/TBD,,프로젝트 시트 공란,PDF 단독,프로젝트 적용 여부 확인 필요,PDF: TEMP_ROB_WELDER
150,Robot -> Pendant,128~160 로봇 → 팬던트,Reserved/TBD,,프로젝트 시트 공란,PDF 단독,프로젝트 적용 여부 확인 필요,PDF: TEMP_PEND_WELD
151,Robot -> Pendant,128~160 로봇 → 팬던트,셀 선택 FLAG,VL1/VL2/VR1/VR2/HOR,셀 선택 상태 플래그,일치,값 정의는 bitfields-enums.md 참조,
152,Robot -> Pendant,128~160 로봇 → 팬던트,기타 정보,,셀/레이어 등 보조 정보,일치,2F/3F 레이어 정보는 bitfields-enums.md 참조,
153,Robot -> Pendant,128~160 로봇 → 팬던트,용접 조건 요청,1=요청,팬던트에 용접 조건 다운로드 요청,일치,154와 함께 요청/완료 핸드셰이크 구성,
154,Robot -> Pendant,128~160 로봇 → 팬던트,정보 수신 완료,1=완료,팬던트가 조건 전송 완료했음을 표시,일치,권장: 소비 후 0으로 클리어,
155,Robot -> Pendant,128~160 로봇 → 팬던트,터치셀,VL1/VL2/VR1/VR2/HOR,현재 터치 대상 셀,일치,,
156,Robot -> Pendant,128~160 로봇 → 팬던트,터치 번호,1~4,터치 번호,일치,2F/3F에서 의미가 다름,
157,Robot -> Pendant,128~160 로봇 → 팬던트,터치 완료,,터치 수행 완료 상태,일치,,
158,Robot -> Pendant,128~160 로봇 → 팬던트,전압_END,중간갭,종료 전압/중간갭 관련 값,작업시트 단독,,
159,Robot -> Pendant,128~160 로봇 → 팬던트,전류_END,중간갭,종료 전류/중간갭 관련 값,작업시트 단독,,
160,Robot -> Pendant,128~160 로봇 → 팬던트,로봇 버전,메이저.마이너.버그,로봇 소프트웨어 버전,일치,,
161,Pendant -> Robot,161~199 팬던트 → 로봇,팬던트 하트 비트,0~500,팬던트 통신 생존 신호,일치,,
162,Pendant -> Robot,161~199 팬던트 → 로봇,작업 모드,"1=수동, 2=자동",작업 모드 선택,일치,,
163,Pendant -> Robot,161~199 팬던트 → 로봇,로봇 이동,1=이동,이동 요청,일치,,
164,Pendant -> Robot,161~199 팬던트 → 로봇,로봇 자세,1~4,로봇 자세/동작 상태,일치,상세 값은 bitfields-enums.md 참조,
165,Pendant -> Robot,161~199 팬던트 → 로봇,동작 모드,"1=치수, 2=직접",동작 모드 선택,일치,,
166,Pendant -> Robot,161~199 팬던트 → 로봇,이동 패스,,이동할 패스 번호,일치,,
167,Pendant -> Robot,161~199 팬던트 → 로봇,이동,1=이동,실제 이동 트리거,일치,,
168,Pendant -> Robot,161~199 팬던트 → 로봇,아크 온/오프,"2=아크온, 1=아크오프",아크 제어,일치,,
169,Pendant -> Robot,161~199 팬던트 → 로봇,스틱아웃,"1=Plus, 2=Minus",스틱아웃 조정,일치,,
170,Pendant -> Robot,161~199 팬던트 → 로봇,직접 교시 시작,1=시작,직접 교시 시작,일치,,
171,Pendant -> Robot,161~199 팬던트 → 로봇,선택 셀 좌,1~8,좌측 셀 선택,프로젝트 우선,프로젝트 시트는 A~e(1~8) 사용,PDF: 1~6
